SentimentDevice,SalesDevice
Asus Vivobook  16,VIVOBOOK
HP Omen  15,OMEN
Dell Alienware M18 18,ALIENWARE
Dell Alienware M16 16,ALIENWARE
Dell Inspiron 3000  15,INSPIRON 3000
HP Pavilion 14,PAVILION
Asus VivoBook Go 14,VIVOBOOK
HP Laptop 17t 17,HP LAPTOP 17
Lenovo SlimPro 9i 14,SLIM PRO 9
Microsoft Surface Pro 9 13,SURFACE PRO
Acer Predator Helios 16,PREDATOR
Lenovo Ideapad Flex 5  14,IDEAPAD FLEX
HP Laptop  15,UNDEFINED
HP Laptop  17,UNDEFINED
Asus ROG Flow X13 13,ROG FLOW
Asus Tuf Dash 15,TUF
Asus ROG Zephyrus M16 16,ROG ZEPHYRUS
Asus ROG Strix Scar 15,ROG STRIX
Asus TUF Gaming F17 17,TUF
Dell Inspiron 15 3000,INSPIRON 3000
Microsoft Surface Laptop 4 13,SURFACE LAPTOP
Microsoft Surface Laptop 4 15,SURFACE LAPTOP
Dell XPS Plus 13,XPS
Asus Rog 16,ROG
MSI Bravo 15,BRAVO
Dell Inspiron 7000 14 Plus,INSPIRON PLUS
Acer Predator Helios 18,PREDATOR
HP Eliteboook G7 14,ELITE
HP Laptop 15,UNDEFINED
Lenovo Yoga 7i 16,YOGA 7
Dell Alienware X16 16,ALIENWARE
Lenovo Ideapad 1  14,IDEAPAD 1
Asus VivoBook Go 12,VIVOBOOK
HP Stream  14,UNDEFINED
MSI Gaming 15,UNDEFINED
HP Stream  17,UNDEFINED
Microsoft Surface Laptop 5 15,SURFACE LAPTOP
Samsung Galaxy Book 3 360 15,GALAXY BOOK
Asus ROG Flow X13,ROG FLOW
Lenovo Wei 9 Pro  16,UNDEFINED
Samsung Galaxy Book 3 360 13,GALAXY BOOK
Acer Aspire Vero 15,ASPIRE VERO
Microsoft Surface Go 13,UNDEFINED
Microsoft Surface Laptop Studio2 13,SURFACE LAPTOP
Microsoft Surface Go Laptop 3 12,UNDEFINED
HP Envy Desktop,ENVY
Lenovo Ideapad 3i 14,IDEAPAD 3
Asus Vivobook Go 15,VIVOBOOK
Lenovo LOQ 15,LOQ
Asus Vivobook Pro  16,VIVOBOOK PRO
Lenovo Legion 5  14,LEGION
Dell Alienware  16,ALIENWARE
Dell Inspiron 5000  16,INSPIRON 5000
Samsung Galaxy Book 2 Pro 13,GALAXY BOOK
Asus TUF Gaming A 17,TUF
Asus ROG Strix Scar 18,ROG STRIX
Samsung Galaxy Book3 15,GALAXY BOOK
Lenovo Ideapad 3  15,IDEAPAD 3
Asus Rog Strix G16 16,ROG STRIX
MSI Sword 15,SWORD
Lenovo Ideapad  15,IDEAPAD
Asus TUF Gaming A15  15,TUF
Lenovo Legion Pro 7i 16,LEGION
Asus Vivobook  14,VIVOBOOK
Asus ROG Strix G16   16,ROG STRIX
Lenovo Legion Slim 5 16,SLIM 5
Asus Zenbook 14X 14,ZENBOOK
Samsung Galaxy Book3 360 15,GALAXY BOOK
MSI GF63 Thin 15,THIN
Asus BR1100 11,ASUS B SERIES
Lenovo Wei 5 Pro  15,UNDEFINED
HP Spectre 17,SPECTRE
Asus ROG Flow Z13 13,ROG FLOW
Lenovo Yoga 9i 13,YOGA 9
Asus Vivobook Flip 16,VIVOBOOK FLIP
MSI Raider 17,RAIDER
Lenovo Wei 7 Pro  14,UNDEFINED
MSI Creator M 16,CREATOR
Samsung Galaxy Book 2 Pro 15,GALAXY BOOK
Razer Blade 14,RAZER BLADE
Microsoft surface go 3 10,SURFACE GO
Samsung Galaxy Book 2 Pro 360 15,GALAXY BOOK
HP Victus 15,VICTUS
MSI GV15 15,V15
Microsoft surface pro 8 13,SURFACE PRO
Microsoft Surface Laptop Studio 14,SURFACE LAPTOP
Microsoft surface pro 7 plus 12,SURFACE PRO
Microsoft Surface Laptop Go 2 12,SURFACE LAPTOP
Microsoft Surface Laptop 5 13,SURFACE LAPTOP
Samusng Galaxy Book 3 Pro 14,GALAXY BOOK
Samsung Galaxy Book3 Ultra 16,GALAXY BOOK
Samsung Galaxy Book3 Pro 16,GALAXY BOOK
HP Spectre x360 16,SPECTRE
Asus ROG Flow Z13 13,ROG FLOW
HP Envy  17,ENVY
Lenovo 300W 3 11,LENOVO 300 SERIES
Lenovo yoga Book 9,YOGA 9
Lenovo Slim Pro 14,SLIM PRO 1
Lenovo Yoga 7 16,YOGA 7
Hp envy 2,ENVY
Lenovo Flex 5 14,FLEX
Asus ROG flow X16 16,ROG FLOW
Lenovo Ideapad Flex 5 16,IDEAPAD FLEX
Lenovo Slim 7i 16,SLIM 7
Lenovo IdeaPad 16,IDEAPAD 16
Asus ROG Gaming 14,ROG
Asus Vivobook Pro 16X 16,VIVOBOOK PRO
Lenovo Ideapad 5i 15,IDEAPAD 5
Lenovo Ideapad 1i 14,IDEAPAD 1
Lenovo Thinkpad Yoga X1 14,THINKPAD YOGA
Hp Envy 17T 17,ENVY
Acer Nitro 5 15,NITRO
Asus ROG Zephyrus G14  14,ROG ZEPHYRUS
Asus Vivobook 14,VIVOBOOK
Dell Inspiron 7000 2-in-1 16,INSPIRON 7000
Lenovo thinkpad p17 17,THINKPAD P
Asus TUF Gaming A16 16,TUF
Asus ROG Zephyrus 16,ROG ZEPHYRUS
Dell G15 5000 15,UNDEFINED
Asus ROG Strix G17  17,ROG STRIX
Dell Inspiron 5620 Desktop,INSPIRON 5000
Lenovo Ideapad 5i Pro 16,IDEAPAD PRO 5
Asus Vivobook Pro 15X 15,VIVOBOOK PRO
Asus Zenbook Pro 17,ZENBOOK
Asus Vivobook Pro 15X,VIVOBOOK PRO
Lenovo Yoga Slim 7 16,YOGA SLIM 7
Lenovo Slim 7 Pro 14,SLIM PRO 7
Asus Zenbook Pro Duo 14,ZENBOOK
LG gram 17Z95P,GRAM
HP Spectre x360 14,SPECTRE
Asus ROG Strix 18,ROG STRIX
MSI Stealth 17,STEALTH
MSI Stealth 16,STEALTH
Hp omen Gaming laptop,OMEN
Alienware M16 16,ALIENWARE
Alienware M18 18,ALIENWARE
Razer Blade 16,RAZER BLADE
MSI Gaming laptop 16,UNDEFINED
MSI Katana 15,MSI KATANA
Samsung Galaxy Ultra 16,GALAXY BOOK ULTRA
Lenovo Legion Pro 5i 16,LEGION
Samsung Galaxy Book2 Pro 360 13,GALAXY BOOK
Asus VivoBook Pro 15,VIVOBOOK PRO
MSI Stealth 14,STEALTH
Asus ROG Zephyrus G16 16,ROG ZEPHYRUS
Lenovo ThinkPad T16 16,THINKPAD T
Razer Gaming laptop 18,RAZER
Razer Blade 18,RAZER BLADE
Lenovo Gaming Desktop,DESKTOP
HP Pavilion 14,PAVILION | DESKTOP
Lenovo Ideapad 3 14,IDEAPAD
Asus Vivobook 17,VIVOBOOK
Samsung Galaxy Book3 Pro 15,GALAXY BOOK
Acer Nitro 5 15,NITRO
Hp Omen Transcend 14,OMEN
Hp G10 15,256 G9
Lenovo Thinkpad E16 16,LENOVO THINKPAD E16
Hp G9 15,256 G9
Acer Aspire Vero 14,ASPIRE VERO
Microsoft Surface Laptop Go 3 12,SURFACE LAPTOP GO
Lenovo Slim 7 Pro X 14,LENOVO SLIM 7 PROX
Hp Omen Transcend 16,OMEN
Microsoft Surface Laptop 15,SURFACE LAPTOP
Asus Zenbook Pro 14X 14,ASUS ZENBOOK PRO 14
Lenovo Legion Pro 7 16,LENOVO LEGION PRO 5
Hp Envy X360 16,ENVY X360
Lenovo Thinkbook G6 16,THINKBOOK
Microsoft Surface Laptop Go 2 12,SURFACE LAPTOP GO
Asus Rog Flow 16,ROG FLOW
Microsoft Surface Studio 2 14,SURFACE STUDIO
Asus Tuf A16 16,TUF
Asus Rog Strix G 16,ROG STRIX
Asus Rog Zephyrus G16  16,ROG ZEPHYRUS
Asus Vivobook Pro X 16,VIVOBOOK PRO
